timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-27T01:41:43,karting,36db3286-f30d-49a9-af77-264842d59d80,17.51166081428528,7.830112334647287e-05,4.471370487178355e-06,42.5,0.0,2.9583849906921387,0.0002066197873817,0.0,1.4371932875734406e-05,0.0002209917202574,Germany,DEU,bavaria,,,Windows-10-10.0.19045-SP0,3.9.16,2.2.4,8,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,1.0,1 x NVIDIA GeForce GTX 960M,11.5683,48.1663,7.889026641845703,machine,N,1.0
2023-06-27T01:43:53,karting,a8f78cff-92b2-4363-8921-b960709b4de2,81.94688487052917,0.0003665817936758,4.473407308343659e-06,42.5,0.0,2.9583849906921387,0.0009673105309406,0.0,6.730478155016148e-05,0.0010346153124908,Germany,DEU,bavaria,,,Windows-10-10.0.19045-SP0,3.9.16,2.2.4,8,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,1.0,1 x NVIDIA GeForce GTX 960M,11.5683,48.1663,7.889026641845703,machine,N,1.0
2023-06-27T07:22:11,karting,25a2ffdc-d53e-46b0-896a-c578c811bd62,16609.352190971375,0.0742792766394244,4.4721356850872085e-06,42.5,0.0,2.9583849906921387,0.1960136371513207,0.0,0.0136270987981945,0.2096407359495155,Germany,DEU,bavaria,,,Windows-10-10.0.19045-SP0,3.9.16,2.2.4,8,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,1.0,1 x NVIDIA GeForce GTX 960M,11.5683,48.1663,7.889026641845703,machine,N,1.0
2023-06-27T07:56:30,karting,40c4ac60-2db2-4777-9161-6af8be1c9a79,28.424889087677,2.238012619395336e-05,7.873426040439952e-07,5.0,0.0,3.0,3.947833180427551e-05,0.0,2.368580142656962e-05,6.316413323084513e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-27T07:58:02,karting,cbe6acc5-fe37-4ed0-8b58-52f408af1589,5.749226808547974,4.5265296747404335e-06,7.87328422669005e-07,5.0,0.0,3.0,7.984801133473713e-06,0.0,4.790565768877665e-06,1.2775366902351378e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-27T13:21:40,karting,58cf5384-494d-4146-aa19-4dd4dd6577a5,19381.95213890076,0.015260308354591,7.873463026442346e-07,5.0,0.0,3.0,0.0269189697586828,0.0,0.0161506779144207,0.0430696476731035,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-27T13:43:44,karting,d56b83f8-e2d3-43c0-aa85-a7b3a0deb729,0.1526060104370117,1.2007165684958298e-07,7.868081768584251e-07,5.0,0.0,3.0,2.1186272303263345e-07,0.0,1.2701928615570068e-07,3.3888200918833413e-07,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
2023-06-27T13:44:15,karting,ea2b9c2e-5c0e-4dc5-a9a6-d18cd84373ed,10.884164810180664,8.569760856340794e-06,7.873604457298314e-07,5.0,0.0,3.0,1.5116766426298354e-05,0.0,9.06993885835012e-06,2.4186705284648475e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
2023-06-27T13:47:18,karting,e5fa8cce-defe-4380-8578-66b9678501cf,142.89783692359924,0.0001125112055876,7.873541546174983e-07,5.0,0.0,3.0,0.0001984668725066,0.0,0.0001190770375728,0.0003175439100795,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
2023-06-27T13:48:23,karting,7d8eae64-5701-4387-a510-f23e249fc10c,32.34526300430298,2.5466185067750217e-05,7.873234811651519e-07,5.0,0.0,3.0,4.492270847161611e-05,0.0,2.6951305667559308e-05,7.187401413917542e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
2023-06-27T14:59:47,karting,4be92b2e-eb3f-42bc-b72a-38b481dd8ce8,613.487585067749,0.0004830147255136,7.873259985535236e-07,5.0,0.0,3.0,0.0008520424885882,0.0,0.0005111851451794,0.0013632276337676,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
2023-06-27T15:02:32,karting,6ced498e-8758-4b13-815f-d035ab512e5a,127.13911604881288,0.0001001027838645,7.873484335547277e-07,5.0,0.0,3.0,0.0001765799942943,0.0,0.0001059432373444,0.0002825232316388,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.6243,48.1243,8.0,machine,N,1.0
